"","X","Group","HostReportedName","HostCorrectedName","HostOrder","HostFamily","HostEnvironment","ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","ParType","ParPhylum","ParClass","Citation","LocationName","Longitude","Latitude","PopulationType","SamplingBasis","SampleNotes","Prevalence","HostsSampled","HostSex","HostAge","Intensity","IntensityMeasure","NativeRange","NumSamples","SamplingType"
"1",73,"carnivores","Acinonyx jubatus","Acinonyx jubatus","Carnivora","Felidae","terrestrial","Trichinella nelsoni","Trichinella nelsoni","yes","Helminth","Nematoda","Enoplea","Pozio et al. 1997","Serengeti National Park, Northern Tanzania",34.83,-2.33,"WN","Animals","Muscle Tissue",0.2,5,NA,NA,"0.5","ParasiteCount","Yes",5,"DirectOther"
"2",237,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Paramphistomum cotylophorum","Cotylophoron cotylophorum","yes","Helminth","Platyhelminthes","Trematoda","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- rumen, reticulum, abomasum, small intestine",0.89,46,NA,NA,"",NA,"Yes",46,NA
"3",277,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Fasciola hepatica","Fasciola hepatica","yes","Helminth","Platyhelminthes","Trematoda","Ocaido et al 1999","Lake Mburo National Parks, Uganda",30.95,-0.62,"WN",NA,NA,NA,NA,NA,NA,"",NA,"Yes",NA,NA
"4",426,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Moniezia benedeni","Moniezia benedeni","yes","Helminth","Platyhelminthes","Cestoda","Zieger et al 1998b","Chibombo District, Zambia",28.09,-14.66,"WN",NA,"gastro-intestinal tract, thoracic organs, liver, kidneys, paranasal sinuses, skins",0.16,12,NA,NA,"",NA,"Yes",12,NA
"5",427,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Moniezia expansa","Moniezia expansa","yes","Helminth","Platyhelminthes","Cestoda","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- gi tract, heart, lung liver",0.06,46,NA,NA,"",NA,"Yes",46,NA
"6",428,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Moniezia expansa","Moniezia expansa","yes","Helminth","Platyhelminthes","Cestoda","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- gi tract, heart, lung liver",0.08,46,NA,"Juvenile","",NA,"Yes",35,NA
"7",450,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- caecum and colon",0.95,46,NA,NA,"",NA,"Yes",46,NA
"8",451,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",0.75,7,"Male",NA,"",NA,"Yes",4,NA
"9",452,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",0.85,7,NA,NA,"",NA,"Yes",7,NA
"10",453,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",1,7,"Female",NA,"",NA,"Yes",3,NA
"11",454,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",0.8,7,NA,"Adult","",NA,"Yes",5,NA
"12",455,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",1,7,NA,"Juvenile","",NA,"Yes",2,NA
"13",456,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",1,7,"Male",NA,"41.3","ParasiteCount","Yes",7,"DirectOther"
"14",457,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.714,98,"All","Adult","119.6","ParasiteCount","Yes",98,"DirectOther"
"15",458,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.768,56,"Male","Adult","99.5","ParasiteCount","Yes",56,"DirectOther"
"16",459,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.867,45,"Male","Juvenile","116.7","ParasiteCount","Yes",45,"DirectOther"
"17",460,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.759,158,"All","All","110.7","ParasiteCount","Yes",158,"DirectOther"
"18",461,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.643,42,"Female","Adult","151.7","ParasiteCount","Yes",42,"DirectOther"
"19",462,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.733,15,"All",NA,"33.2","ParasiteCount","Yes",15,"DirectOther"
"20",463,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.5,8,"Female",NA,"19","ParasiteCount","Yes",8,"DirectOther"
"21",612,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- small instestine",1,46,NA,NA,"",NA,"Yes",46,NA
"22",613,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Boomker et al 1989c","St. Lucia Game Park, Eastern Shores Reserve",32.5,-28,"WN",NA,"organs- gi tract, heart, lung liver",0.5,2,NA,NA,"",NA,"Yes",2,NA
"23",614,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",1,8,"Female",NA,"195","ParasiteCount","Yes",8,"DirectOther"
"24",615,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",1,7,"Male",NA,"496.4","ParasiteCount","Yes",7,"DirectOther"
"25",616,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",1,15,"All",NA,"335.7","ParasiteCount","Yes",15,"DirectOther"
"26",617,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.857,98,"All","Adult","342.4","ParasiteCount","Yes",98,"DirectOther"
"27",618,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.762,42,"Female","Adult","346.9","ParasiteCount","Yes",42,"DirectOther"
"28",619,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.929,56,"Male","Adult","339.7","ParasiteCount","Yes",56,"DirectOther"
"29",620,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.911,45,"Male","Juvenile","430.2","ParasiteCount","Yes",45,"DirectOther"
"30",621,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.886,158,"All","All","367.4","ParasiteCount","Yes",158,"DirectOther"
"31",631,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Toxocara vitulorum","Toxocara vitulorum","yes","Helminth","Nematoda","Secernentea","Ocaido et al 1999","Lake Mburo National Parks, Uganda",30.95,-0.62,"WN",NA,NA,NA,NA,NA,NA,"",NA,"Yes",NA,NA
"32",633,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs-abomasum",0.93,46,NA,NA,"",NA,"Yes",46,NA
"33",679,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Trichuris globulosa","Trichuris globulosa","yes","Helminth","Nematoda","Enoplea","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- caecum and colon",0.76,46,NA,NA,"",NA,"Yes",46,NA
"34",704,"ungulates","Alcelaphus buselaphus","Alcelaphus buselaphus","Artiodactyla","Bovidae","terrestrial","Nematodirus spathiger","Nematodirus spathiger","yes","Helminth","Nematoda","Secernentea","Boomker et al 2000","Mountain Zebra National Park, South Africa",25.4,-32.19,"WN",NA,"organs- gi tract, heart, lung liver",1,1,NA,NA,"",NA,"Yes",1,NA
"35",705,"ungulates","Alcelaphus buselaphus","Alcelaphus buselaphus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Mares et al 1984","Mkambati Game Reserve, South Africa",29.98,-31.3,NA,NA,"intestines (ingesta)",NA,8,NA,NA,"",NA,"Yes",8,NA
"36",722,"ungulates","Alcelaphus buselaphus","Alcelaphus buselaphus","Artiodactyla","Bovidae","terrestrial","Trichuris ovis","Trichuris ovis","yes","Helminth","Nematoda","Enoplea","Mares et al 1984","Mkambati Game Reserve, South Africa",29.98,-31.3,NA,NA,"intestines (ingesta)",NA,8,NA,NA,"",NA,"Yes",8,NA
"37",739,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Bunostomum trigonocephalum","Bunostomum trigonocephalum","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.278,18,NA,NA,"",NA,"Yes",18,"DirectOther"
"38",767,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Dictyocaulus capreolus","Dictyocaulus capreolus","yes","Helminth","Nematoda","Secernentea","Divina et al. 2002","Sweden",18.64,60.13,"WN","Animals",NA,0.106,136,NA,NA,"",NA,"Yes",136,"PCR"
"39",768,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Dictyocaulus capreolus","Dictyocaulus capreolus","yes","Helminth","Nematoda","Secernentea","Gibbons and Hoglund 2002","south and central Sweden",18.64,60.13,"WN",NA,"organs-lungs",NA,NA,NA,NA,"",NA,"Yes",NA,NA
"40",769,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Dictyocaulus capreolus n. sp.","Dictyocaulus capreolus","yes","Helminth","Nematoda","Secernentea","Gibbons and Hoglund 2002","Sweden",18.64,60.13,"WN","Animals","Hunter gathered lungs-PCR",NA,NA,NA,NA,"",NA,"Yes",NA,"PCR"
"41",770,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Dictyocaulus eckerti","Dictyocaulus eckerti","yes","Helminth","Nematoda","Secernentea","Divina et al. 2002","Sweden",18.64,60.13,"WN","Animals",NA,0.007,136,NA,NA,"",NA,"Yes",136,"PCR"
"42",771,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Dictyocaulus eckerti","Dictyocaulus eckerti","yes","Helminth","Nematoda","Secernentea","Gibbons and Hoglund 2002","Sweden",18.64,60.13,"WN","Animals","Hunter gathered lungs-PCR",NA,NA,NA,NA,"",NA,"Yes",NA,"PCR"
"43",772,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Dictyocaulus eckerti","Dictyocaulus eckerti","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.222,18,NA,NA,"",NA,"Yes",18,"DirectOther"
"44",778,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Echinococcus granulosus","Echinococcus granulosus","yes","Helminth","Platyhelminthes","Cestoda","Joly and Messier 2004","South-Western Quebec, Canada",-73.55,52.94,"WN","Animals","Lung",0.48,213,NA,NA,"",NA,"Yes",213,"DirectOther"
"45",779,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Echinococcus granulosus","Echinococcus granulosus","yes","Helminth","Platyhelminthes","Cestoda","McNeill and Rau 1987","Rouge-Matawin and LaVerendrye Provincial Game Reseres in southwestern Quebec",-76.32,47.02,"WN",NA,"organs-lungs",0.44,580,NA,NA,"",NA,"Yes",580,NA
"46",780,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Echinococcus granulosus","Echinococcus granulosus","yes","Helminth","Platyhelminthes","Cestoda","Moks et al 2008","Estonia",25.01,58.6,"WO","Animals","Parasitological examinations of the carcass",0.008,2038,"All","All","",NA,"Yes",2038,"DirectOther"
"47",781,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Echinococcus granulosus","Echinococcus granulosus","yes","Helminth","Platyhelminthes","Cestoda","Pybus 1990","throughout Alberta province in Canada,Saskatchewan in the Cypress Hills area, Camp Wainwright",-116.58,53.93,"WN",NA,"organs-liver and often lungs",0.72,51,NA,NA,"",NA,"Yes",51,NA
"48",782,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Echinococcus granulosus","Echinococcus granulosus","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.167,18,NA,NA,"",NA,"Yes",18,"DirectOther"
"49",812,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fasciola hepatica","Fasciola hepatica","yes","Helminth","Platyhelminthes","Trematoda","Aukstikalniene et al. 2007","Aukstaitija National Park, Lithuania",26.02,55.35,"WN","Animals",NA,1,10,NA,NA,"5+/-3.8","EggCount","Yes",10,"DirectFecal"
"50",813,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fasciola hepatica","Fasciola hepatica","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2000a","southern part of Belarus",27.95,53.71,"WN",NA,"organs-liver",0.05,18,NA,NA,"",NA,"Yes",18,NA
"51",814,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fasciola hepatica","Fasciola hepatica","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.056,18,NA,NA,"",NA,"Yes",18,"DirectOther"
"52",815,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Pybus 1990","throughout Alberta province in Canada,Saskatchewan in the Cypress Hills area, Camp Wainwright",-116.58,53.93,"WN",NA,"organs-liver",0.03,28,NA,NA,"",NA,"Yes",191,NA
"53",816,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Pybus 1990","throughout Alberta province in Canada,Saskatchewan in the Cypress Hills area, Camp Wainwright",-116.58,53.93,"WN",NA,"organs-liver",0.03,28,NA,"Adult","",NA,"Yes",161,NA
"54",817,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Wobeser et al 1985","Prince Albert National Park, Saskatchewan",-106.37,53.96,"WN",NA,"organs",1,2,NA,"Adult","",NA,"Yes",1,NA
"55",818,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Wobeser et al 1985","Prince Albert National Park, Saskatchewan",-106.37,53.96,"WN",NA,"organs",1,2,"Male",NA,"",NA,"Yes",1,NA
"56",819,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Wobeser et al 1985","Prince Albert National Park, Saskatchewan",-106.37,53.96,"WN",NA,"organs",1,2,"Female",NA,"",NA,"Yes",1,NA
"57",820,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Wobeser et al 1985","Prince Albert National Park, Saskatchewan",-106.37,53.96,"WN",NA,"organs",1,2,NA,"Juvenile","",NA,"Yes",1,NA
"58",821,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Wobeser et al 1985","Prince Albert National Park, Saskatchewan",-106.37,53.96,"WN",NA,"organs",1,2,NA,NA,"",NA,"Yes",2,NA
"59",851,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Moniezia benedeni","Moniezia benedeni","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.278,18,NA,NA,"",NA,"Yes",18,"DirectOther"
"60",852,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Moniezia expansa","Moniezia expansa","yes","Helminth","Platyhelminthes","Cestoda","Hoeve et al 1988","Larose Forest, eastern Ontario",-75.17,45.37,"WN",NA,"organs-heart, lungs, liver, spleen, kidneys, stomach, large and small intestine",0.13,16,NA,NA,"",NA,"Yes",16,NA
"61",868,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Oesophagostomum venulosum","Oesophagostomum venulosum","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.167,18,NA,NA,"",NA,"Yes",18,"DirectOther"
"62",879,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Ostertagia leptospicularis","Ostertagia leptospicularis","yes","Helminth","Nematoda","Secernentea","Rehbinder et al 2004","Sweden",18.64,60.13,"WO","Samples","Portions of  lung, and small intestine, the abomasum and large intestine, and faeces were examined for parasites.",1,5,"All","All","",NA,"Yes",5,"DirectOther"
"63",884,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Dumont and Crete 1996","southern Quebec",-73.55,52.94,"WN",NA,"census of observations of symptomatic moose",NA,NA,NA,NA,"",NA,"Yes",NA,NA
"64",885,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Fuller 1986","Bearville Township, Itasca County, Minnesota",-93.63,47.51,"WN",NA,"organs-brain",0.14,9,"Female",NA,"",NA,"Yes",7,NA
"65",886,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Fuller 1986","Bearville Township, Itasca County, Minnesota",-93.63,47.51,"WN",NA,"organs-brain",1,9,NA,"Juvenile","",NA,"Yes",1,NA
"66",887,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Fuller 1986","Bearville Township, Itasca County, Minnesota",-93.63,47.51,"WN",NA,"organs-brain",0.11,9,NA,NA,"",NA,"Yes",9,NA
"67",888,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Fort Frances District, Ontario",-93.4,48.61,"WN","Animals","cranium necropsy",1,1,"Female","Juvenile","",NA,"Yes",1,"Other"
"68",889,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Fort Frances District, Ontario",-93.4,48.61,"WN","Animals","cranium necropsy",1,1,"Male","Juvenile","",NA,"Yes",1,"Other"
"69",890,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Fort Frances District, Ontario",-93.4,48.61,"WN","Animals","cranium necropsy",0.5,6,"All","All","",NA,"Yes",6,"Other"
"70",891,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Fort Frances District, Ontario",-93.4,48.61,"WN","Animals","cranium necropsy",0.25,4,"Female","Adult","",NA,"Yes",4,"Other"
"71",892,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Grand Marais, Minnesota",-90.33,47.75,"WN","Animals",NA,1,1,"Female","Juvenile","",NA,"Yes",1,"DirectFecal"
"72",893,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Grand Marais, Minnesota",-90.33,47.75,"WN","Animals",NA,0.3,10,"Female","Adult","",NA,"Yes",10,"DirectFecal"
"73",894,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Grand Marais, Minnesota",-90.33,47.75,"WN","Animals",NA,0.471,17,"All","All","",NA,"Yes",17,"DirectFecal"
"74",895,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Grand Marais, Minnesota",-90.33,47.75,"WN","Animals",NA,1,3,"Male","Juvenile","",NA,"Yes",3,"DirectFecal"
"75",896,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Grand Marais, Minnesota",-90.33,47.75,"WN","Animals",NA,0.5,2,"Male","Adult","",NA,"Yes",2,"DirectFecal"
"76",897,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Kenora District, Ontario",-88.97,52.95,"WN","Animals","cranium necropsy",0.5,2,"Female","Juvenile","",NA,"Yes",2,"Other"
